music_id,artist_names,track_name,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
95,Jin,Another Level,80.75,-41.61,0.2362000048160553,0.47929999232292175,0.1084,0.05,2621.3
96,Sabrina Carpenter,Espresso,103.36,-43.11,0.24869999289512634,0.6270999908447266,0.109,0.06,2783.98
97,NewJeans,Bubble Gum,103.36,-45.17,0.24120000004768372,0.5839999914169312,0.128,0.09,2744.66
98,Stray Kids,"그렇게, 천천히, 우리 (승민) As we are (Seungmin)",143.55,-44.07,0.15970000624656677,0.4018000066280365,0.0963,0.05,2316.73
99,"ZICO, JENNIE",SPOT!,107.67,-46.08,0.28369998931884766,0.6590999960899353,0.1086,0.09,2461.82
100,Taylor Swift,Cruel Summer,112.35,-39.5,0.24050000309944153,0.44279998540878296,0.0859,0.05,2039.92
101,고추잠자리,너라는 별,83.35,-40.85,0.22830000519752502,0.4429999887943268,0.0901,0.05,2130.9
102,NewJeans,ETA,136.0,-43.49,0.22120000422000885,0.49959999322891235,0.1239,0.08,2931.12
103,Lim Young Woong,A bientot,143.55,-43.05,0.27239999175071716,0.5195000171661377,0.0905,0.06,2276.67
104,Lim Young Woong,Love Always Run Away,136.0,-48.4,0.1907999962568283,0.46399998664855957,0.0764,0.07,1905.64
105,LEECHANGSUB,Heavenly fate,143.55,-47.89,0.1720999926328659,0.4875999987125397,0.0731,0.04,1720.39
106,NewJeans,New Jeans,89.1,-46.71,0.26829999685287476,0.48890000581741333,0.0608,0.05,2054.53
107,Baek A,Amor,136.0,-48.55,0.06719999760389328,0.1673000007867813,0.0766,0.07,2069.98
108,Vaundy,踊り子,161.5,-52.4,0.22550000250339508,0.4377000033855438,0.0316,0.02,922.6
109,NewJeans,Super Shy,152.0,-48.41,0.23430000245571136,0.48969998955726624,0.0733,0.06,2203.29
110,BIGBANG,LET'S NOT FALL IN LOVE,123.05,-43.12,0.267300009727478,0.534500002861023,0.0896,0.06,2231.24
111,Tommy Richman,MILLION DOLLAR BABY,136.0,-46.59,0.2935999929904938,0.6575999855995178,0.0866,0.09,2243.81
112,BIGBANG,SOBER,129.2,-38.52,0.30469998717308044,0.5364000201225281,0.104,0.05,2569.55
113,EXO,The First Snow,83.35,-43.15,0.22990000247955322,0.4674000144004822,0.118,0.08,2847.0
114,KISS OF LIFE,Sticky,99.38,-44.23,0.23520000278949738,0.529699981212616,0.1271,0.1,2739.79
115,Nerd Connection,If I have you only (My love X Nerd Connection),136.0,-41.84,0.2809999883174896,0.4632999897003174,0.0764,0.03,1700.21
