music_id,artist_names,track_name,genre,track_length_sec,release_country,tempo,mean_mel,mean_rms,max_rms,mean_zcr,std_zcr,mean_centroid
563,Zion.T,No Make Up,R&B/Soul,189.154,USA,92.29,-46.16,0.2240000069141388,0.5498999953269958,0.0843,0.06,2061.98
564,ZUTOMAYO,CREAM,Rock,234.0,USA,129.2,-38.71,0.1169999986886978,0.1928000003099441,0.0996,0.05,2213.39
565,The Black Skirts,Antifreeze,K-Pop,243.987,USA,129.2,-37.39,0.2824000120162964,0.4354999959468841,0.1065,0.06,2551.18
566,Woody,Sadder Than Yesterday,K-Pop,236.24,USA,129.2,-44.55,0.1903000026941299,0.4419000148773193,0.081,0.05,1965.74
567,SHINee,Poet | Artist,,,,99.38,-40.14,0.221000000834465,0.4657999873161316,0.1136,0.06,2671.47
568,"Loco, Punch",Say Yes,K-Pop,218.897,USA,95.7,-45.17,0.2441000044345855,0.6323999762535095,0.0928,0.04,2331.82
569,SEVENTEEN,THUNDER,K-Pop,164.04,USA,129.2,-42.59,0.2175000011920929,0.4905999898910522,0.1025,0.07,2546.65
570,SEVENTEEN,HBD,K-Pop,155.213,USA,136.0,-38.31,0.2644999921321869,0.4882000088691711,0.1153,0.06,2839.13
571,"SEVENTEEN, Pharrell Williams",Bad Influence (Prod. by Pharrell Williams),K-Pop,167.013,USA,117.45,-46.83,0.3147999942302704,0.6297000050544739,0.0956,0.09,2845.54
572,Alex Warren,Ordinary,Pop,186.964,USA,112.35,-45.3,0.2603000104427337,0.572700023651123,0.0643,0.04,1704.89
573,SEVENTEEN,99.9% (WONWOO Solo),K-Pop,185.307,USA,89.1,-40.51,0.2657000124454498,0.4878999888896942,0.1056,0.06,2559.18
574,SEVENTEEN,Skyfall (THE 8 Solo),K-Pop,180.027,USA,92.29,-51.29,0.2454999983310699,0.6085000038146973,0.0481,0.04,1741.63
575,SEVENTEEN,Raindrops (SEUNGKWAN Solo),K-Pop,224.013,USA,143.55,-46.62,0.186599999666214,0.4277999997138977,0.0792,0.06,2083.04
576,IU,Never Ending Story,K-Pop,224.027,USA,123.05,-54.17,0.1370999962091446,0.4481000006198883,0.0909,0.06,2114.57
577,IU,Square's dream,K-Pop,201.013,USA,117.45,-44.84,0.1918999999761581,0.4163999855518341,0.1064,0.1,2528.27
578,IU,October 4th,K-Pop,232.027,USA,99.38,-44.94,0.1711000055074691,0.4332000017166137,0.1105,0.06,2520.76
579,IU,Red Sneakers,K-Pop,206.027,USA,136.0,-40.5,0.304500013589859,0.5860000252723694,0.0978,0.05,2449.99
580,"IU, Wonstein",Last Scene (Feat. Wonstein),K-Pop,243.0,USA,123.05,-45.29,0.222800001502037,0.5486999750137329,0.0895,0.06,2284.37
581,"IU, Balming Tiger",A Beautiful Person (Feat. Balming Tiger),K-Pop,210.0,USA,92.29,-52.77,0.2316000014543533,0.6363000273704529,0.0489,0.05,1727.3
582,SEVENTEEN,Fortunate Change (JOSHUA Solo),K-Pop,217.027,USA,89.1,-42.94,0.2640999853610992,0.5347999930381775,0.0946,0.08,2526.32
583,SEVENTEEN,Shake It Off (MINGYU Solo),K-Pop,168.027,USA,129.2,-48.2,0.257999986410141,0.631600022315979,0.0734,0.08,2144.59
584,"Primary, Dynamicduo",Johnny,Hip-Hop,234.216,USA,99.38,-45.14,0.2463999986648559,0.5475999712944031,0.0909,0.07,2231.58
585,BOOHWAL,Never Ending Story,K-Pop,253.933,USA,61.52,-47.56,0.1571000069379806,0.4248999953269958,0.0901,0.05,1931.49
586,"SEVENTEEN, Timbaland",Damage (HOSHI Solo) (feat. Timbaland),K-Pop,163.213,USA,117.45,-47.97,0.185599997639656,0.4941000044345855,0.0825,0.07,2135.75
587,Charli xcx,party 4 u,Pop,296.653,USA,78.3,-45.8,0.2280000001192093,0.4927999973297119,0.071,0.04,1894.27
588,Lil Tecca,OWA OWA,Hip-Hop/Rap,132.381,USA,123.05,-51.79,0.3409999907016754,0.6875,0.0499,0.06,1685.3
589,LEE MU JIN,Bird On The Edge,Hard Rock,239.44,USA,99.38,-42.0,0.2364999949932098,0.4806999862194061,0.0935,0.06,2181.88
590,Dynamicduo,Guilty,Hip-Hop,224.893,USA,89.1,-43.37,0.2229000031948089,0.536899983882904,0.0996,0.07,2304.87
591,"Leellamarz, Hannah",Trip,Hip-Hop,234.084,USA,92.29,-41.6,0.2215999960899353,0.427700012922287,0.1413,0.08,3107.35
592,"MAKTUB, LEE RAON",To You My Light (feat. LEE RAON),K-Pop,265.587,USA,152.0,-44.68,0.2019000053405761,0.4855000078678131,0.1153,0.07,2574.34
593,#Annyeong,Dial Your Number,Romance,0.0,USA,136.0,-46.08,0.2459000051021576,0.5338000059127808,0.0848,0.07,1850.67
594,Lim Changjung,Soju Hanjan,,,,76.0,-45.51,0.0953999981284141,0.2432000041007995,0.0853,0.06,2161.22
595,Harry Styles,As It Was,Pop,167.303,USA,172.27,-42.02,0.328000009059906,0.526199996471405,0.0728,0.05,1873.41
596,"BUMKEY, Dynamo Duo",Attraction (feat. Dynamo Duo),,,,92.29,-42.5,0.2912000119686126,0.6019999980926514,0.0956,0.07,2303.06
597,데이먼스 이어 Damons year,Salty,K-Pop,176.015,USA,123.05,-51.85,0.151199996471405,0.4390999972820282,0.0644,0.05,1379.07
598,"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),Pop,142.551,USA,129.2,-44.9,0.2944999933242798,0.6704999804496765,0.0817,0.06,2230.27
599,ENHYPEN,Bad Desire (With or Without You),K-Pop,141.886,USA,152.0,-45.13,0.2892999947071075,0.7071999907493591,0.0986,0.08,2211.13
600,ENHYPEN,Outside,K-Pop,121.003,USA,117.45,-45.47,0.2402999997138977,0.5566999912261963,0.0765,0.06,2515.48
601,ENHYPEN,Helium,K-Pop,162.793,USA,172.27,-36.84,0.1673000007867813,0.292600005865097,0.1065,0.05,2580.5
602,ENHYPEN,Too Close,K-Pop,146.358,USA,172.27,-47.94,0.2657999992370605,0.6736000180244446,0.0907,0.08,2326.31
603,ENHYPEN,Flashover,K-Pop,125.677,USA,117.45,-42.83,0.2533999979496002,0.5697000026702881,0.1295,0.08,3244.85
604,Sabrina Carpenter,Manchild,Pop,213.646,USA,123.05,-42.23,0.2150000035762787,0.4778000116348266,0.11,0.06,2460.98
605,AKMU,Last Goodbye,K-Pop,283.8,USA,117.45,-44.16,0.2436999976634979,0.4914000034332275,0.0762,0.05,1939.28
606,"Woo, Loco, GRAY",We Are,K-Pop,196.02,USA,99.38,-41.58,0.3107999861240387,0.6431999802589417,0.0952,0.07,2297.36
607,Nilo,Pass by,K-Pop,281.182,USA,112.35,-51.7,0.1770000010728836,0.4772999882698059,0.0656,0.05,1537.31
608,Yverthug,All Or Nothing,Rock,198.145,USA,123.05,-38.09,0.1808999925851822,0.3476000130176544,0.1516,0.08,3460.77
609,Daryl Lee,再遇见你,,,,129.2,-46.26,0.2187000066041946,0.4733000099658966,0.0722,0.06,2172.89
610,N.Flying,Everlasting,K-Pop,257.173,USA,172.27,-40.54,0.218299999833107,0.4178999960422516,0.1087,0.05,2587.54
611,COOL,애상,K-Pop,209.66,USA,123.05,-36.46,0.1709000021219253,0.2887000143527984,0.1316,0.06,2767.18
612,QWER,Dear,K-Pop,202.027,USA,83.35,-40.7,0.1881999969482422,0.4070999920368194,0.1411,0.06,2927.98
613,DOYOUNG,Memory,K-Pop,183.013,USA,152.0,-42.64,0.2460000067949295,0.4905999898910522,0.12,0.05,2585.42
614,KISS OF LIFE,Lips Hips Kiss,K-Pop,189.04,USA,86.13,-47.18,0.2603000104427337,0.649399995803833,0.1011,0.09,2654.28
615,izna,BEEP,K-Pop,164.885,USA,143.55,-46.02,0.2515000104904175,0.6164000034332275,0.1158,0.09,2667.06
616,DOYOUNG,Be My Light,K-Pop,206.013,USA,129.2,-39.4,0.2190999984741211,0.3971999883651733,0.1268,0.07,2859.8
617,"LILY, JIWOO, KYUJIN",Ridin′ (Prod. THE HUB),,,,152.0,-37.56,0.3362999856472015,0.5685999989509583,0.1102,0.06,2736.11
618,LE SSERAFIM,DIFFERENT,K-Pop,141.756,USA,112.35,-42.59,0.2465000003576278,0.5274999737739563,0.1212,0.08,2835.84
619,UmYull,We′re no different,Rock,253.013,USA,172.27,-39.66,0.2556000053882599,0.5231999754905701,0.1141,0.06,2374.43
620,"GUMMY, SINCE",Flip Flop (Prod. Padi),,,,123.05,-44.02,0.3158000111579895,0.6053000092506409,0.1018,0.07,2753.48
621,YUMDDA,My Life,Hip-Hop/Rap,175.027,USA,83.35,-43.4,0.2639999985694885,0.5911999940872192,0.0856,0.06,2146.64
622,YUMDDA,The Quiett,Hip-Hop/Rap,174.013,USA,83.35,-45.78,0.2658999860286712,0.5938000082969666,0.0816,0.06,2065.83
623,YUMDDA,Irony,,,,99.38,-43.69,0.2551000118255615,0.6496999859809875,0.1075,0.06,2291.15
624,YUMDDA,Ugh!,Hip-Hop/Rap,143.0,USA,99.38,-46.51,0.2116000056266784,0.5116999745368958,0.095,0.07,2155.96
625,"j-hope, GloRilla",Killin' It Girl (feat. GloRilla),K-Pop,138.828,USA,95.7,-47.7,0.2806999981403351,0.6593000292778015,0.0901,0.07,2385.7
626,j-hope,Killin' It Girl (Solo Version),K-Pop,138.828,USA,95.7,-47.95,0.2594999969005584,0.6187999844551086,0.109,0.09,2598.2
627,ATEEZ,Lemon Drop,K-Pop,179.396,USA,103.36,-48.26,0.2565999925136566,0.7046999931335449,0.0857,0.07,2352.71
628,Lil Tecca,Half The Plot,Hip-Hop/Rap,165.938,USA,129.2,-45.51,0.3206000030040741,0.6682000160217285,0.0643,0.05,2228.28
629,YUMDDA,D.R.E.A.M,,,,53.83,-49.87,0.1924999952316284,0.5379999876022339,0.0835,0.07,2084.55
630,Lil Tecca,The Truth,Hip-Hop/Rap,144.916,USA,136.0,-45.4,0.3226000070571899,0.633899986743927,0.0576,0.05,1990.35
631,Lil Tecca,Favorite Lie,Hip-Hop/Rap,169.163,USA,112.35,-45.15,0.2630999982357025,0.6165000200271606,0.0842,0.06,2157.14
632,YUMDDA,Pure Love(純情)2025,,,,143.55,-42.95,0.2906999886035919,0.598800003528595,0.0991,0.07,2561.16
633,YUMDDA,sWing,Hip-Hop,267.599,USA,89.1,-50.46,0.2642000019550323,0.6833000183105469,0.066,0.06,1767.03
634,HxW,ECHO! (Prod. WOOZI),,,,103.36,-43.73,0.2220000028610229,0.526199996471405,0.1236,0.08,2994.19
635,YUMDDA,Y-3,Hip-Hop/Rap,345.62,USA,89.1,-42.31,0.2685999870300293,0.6353999972343445,0.0924,0.06,2246.81
636,YUMDDA,At the time,Hip-Hop/Rap,145.347,USA,99.38,-51.54,0.18019999563694,0.6237999796867371,0.0947,0.09,2228.82
637,"Leellamarz, TOIL",Don′t do That,Hip-Hop,135.12,USA,129.2,-46.74,0.189300000667572,0.5985000133514404,0.1146,0.08,2856.48
638,PLAVE,かくれんぼ (Hide and Seek),K-Pop,204.133,USA,92.29,-42.55,0.2410999983549118,0.4580999910831451,0.1069,0.06,2553.2
639,PLAVE,RIZZ - Japanese Ver.,K-Pop,164.733,USA,112.35,-43.1,0.339599996805191,0.6948000192642212,0.0998,0.08,2694.39
640,Jin,Don’t Say You Love Me (Disco Remix),K-Pop,180.716,USA,123.05,-45.37,0.2234999984502792,0.558899998664856,0.1118,0.07,2589.54
641,Jehwwn,No Hope For Your Return,R&B/Soul,160.653,USA,95.7,-50.54,0.1904000043869018,0.5511999726295471,0.0805,0.07,1669.72
642,PLAVE,Chroma Drift - Japanese Ver.,R&B/Soul,210.827,USA,86.13,-44.12,0.2113000005483627,0.5037999749183655,0.1175,0.07,2715.25
643,ILLIT,Billyeoon Goyangi (Do the Dance),K-Pop,188.642,USA,129.2,-41.3,0.1995999962091446,0.3982000052928924,0.1151,0.08,2788.48
644,ILLIT,little monster,K-Pop,149.396,USA,129.2,-51.24,0.1085999980568885,0.3097000122070312,0.0879,0.07,2224.88
645,BlackNut,0,Hip-Hop/Rap,148.015,USA,161.5,-48.89,0.3039000034332275,0.6692000031471252,0.0593,0.05,2073.11
646,Fujii Kaze,きらり,J-Pop,255.002,USA,117.45,-42.29,0.2436999976634979,0.4336000084877014,0.0883,0.06,2526.89
647,PLAVE,Our Movie,Korean Hip-Hop,161.32,USA,86.13,-43.71,0.2646999955177307,0.5825999975204468,0.0948,0.05,2373.38
