artist_names,track_name,genre,track_length_sec,release_country
MAKTUB,시작의 아이 ハジマリのコ (Starting With You),R&B/Soul,256.627,USA
"BSS, Lee Young Ji",Fighting (Feat. Lee Young Ji),K-Pop,204.467,USA
ROSÉ,3am,Pop,154.05,USA
MEOVV,MEOW,Pop,172.074,USA
BOYNEXTDOOR,But Sometimes,,,
"DEAN, Gaeko",D (Half Moon),K-Pop,229.36,USA
Sabrina Carpenter,Please Please Please,Pop,186.17,USA
Izi,응급실,TV Soundtrack,225.306,USA
TAEYEON,To. X,K-Pop,170.387,USA
Yorushika,ただ君に晴れ,Rock,198.971,USA
LEE MU JIN,Episode,Korean Rock,205.213,USA
BIG Naughty,Vancouver,K-Pop,216.28,USA
D.O.,That's okay,K-Pop,221.373,USA
Bruno Mars,Just the Way You Are,Pop,220.734,USA
Coldplay,Viva La Vida,Alternative,241.445,USA
DPR LIVE,Jasmine,K-Pop,201.511,USA
DEAN,instagram,Alternative,255.729,USA
"Lee Young Ji, D.O.",Small girl (feat. D.O.),K-Pop,189.707,USA
Lim Young Woong,Trust in me,K-Pop,242.787,USA
"PSY, Lena Park",What Would Have Been? (Feat. Lena Park),K-Pop,243.964,USA
Oasis,Don't Look Back in Anger - Remastered,Indie Rock,289.56,USA
"LeeHi, Wonstein",H.S.K.T. (feat. Wonstein),R&B/Soul,204.453,USA
BIGBANG,WE LIKE 2 PARTY,K-Pop,195.516,USA
"Car, the garden",나무,K-Pop,232.558,USA
BOYNEXTDOOR,"IF I SAY, I LOVE YOU",,,
GFRIEND,Season of Memories,K-Pop,186.558,USA
NewJeans,Hurt,K-Pop,177.947,USA
Jung Seung Hwan,The Snowman,K-Pop,236.071,USA
Ariana Grande,we can't be friends (wait for your love),Pop,228.639,USA
NewJeans,Cool With You,K-Pop,147.88,USA
BUZZ,가시,Rock,241.507,USA
Paul Kim,"Every day, Every Moment",K-Pop,210.493,USA
RIIZE,Hug,K-Pop,234.04,USA
BSS,CBZ (Prime time),K-Pop,153.013,USA
"Sik-K, Lil Moshpit",LALALA (Snitch Club),,,
RIIZE,Love 119,K-Pop,173.489,USA
Jung Kook,Still With You,K-Pop,239.906,USA
"Sik-K, Lil Moshpit, Roh Yun Ha, Wuuslime","PUBLIC ENEMY (Feat. Roh Yun Ha, Wuuslime)",,,
"Sik-K, Lil Moshpit, JMIN, HAON","KC2 (Feat. JMIN, HAON)",K-Pop,423.867,USA
"Sik-K, Lil Moshpit",K-FLIP,Hip-Hop,185.893,USA
"Sik-K, Lil Moshpit, HOMIES",SELF HATE (Feat. HOMIES),Korean Hip-Hop,229.5,USA
Roy Kim,If You Ask Me What Love Is,R&B/Soul,223.04,USA
BSS,Love Song,K-Pop,175.64,USA
BSS,Happy Alone,K-Pop,227.653,USA
Mac Miller,5 Dollar Pony Rides,Hip-Hop/Rap,222.119,USA
LE SSERAFIM,ANTIFRAGILE,K-Pop,184.444,USA
BIGBANG,Bad Boy,K-Pop,236.817,USA
IVE,REBEL HEART,K-Pop,188.267,USA
Doechii,DENIAL IS A RIVER,Hip-Hop/Rap,159.586,USA
HUH YUNJIN,jellyfish,K-Pop,157.169,USA
BOYNEXTDOOR,Dangerous,K-Pop,143.773,USA
GFRIEND,Rough,K-Pop,209.105,USA
BOYNEXTDOOR,Serenade,K-Pop,183.56,USA
IVE,HEYA,K-Pop,189.68,USA
NewJeans,Right Now,J-Pop,160.413,USA
"Mac Miller, SZA",DJ's Chord Organ (feat. SZA),,,
"Central Cee, 21 Savage",GBP (feat. 21 Savage),Hip-Hop/Rap,154.8,USA
Mac Miller,Funny Papers,Hip-Hop/Rap,359.234,USA
GIRIBOY,I Think It’s Love,Hip-Hop/Rap,183.0,USA
Mac Miller,Do You Have A Destination?,,,
Bank,Can't Have You,Pop,190.754,USA
Mac Miller,Tambourine Dream,Hip-Hop/Rap,33.142,USA
Mac Miller,Friendly Hallucinations,Hip-Hop,292.467,USA
BOYNEXTDOOR,But I Like You,,,
Yorushika,へび,Alternative,255.615,USA
YB,나는 나비,K-Pop,438.965,USA
OneRepublic,I Ain't Worried,Pop,148.486,USA
OneRepublic,Counting Stars,Pop,257.286,USA
Lauv,I Like Me Better,Pop,197.437,USA
The Walters,I Love You So,Alternative,160.24,USA
BABYMONSTER,FOREVER,K-Pop,212.734,USA
D.O.,Snowfall at Night,K-Pop,179.373,USA
GD&TOP,High High,K-Pop,186.175,USA
"PATEKO, ASH ISLAND, Skinny Brown","Rainy day (Feat. ASH ISLAND, Skinny Brown)",Hip-Hop/Rap,219.691,USA
ZEROBASEONE,Doctor! Doctor!,K-Pop,152.137,USA
BOYNEXTDOOR,One and Only,K-Pop,167.987,USA
NewJeans,Cookie,K-Pop,235.562,USA
NCT WISH,Miracle,K-Pop,177.107,USA
Travis Scott,4X4,Hip-Hop/Rap,190.581,USA
MeloMance,Gift,Singer/Songwriter,260.607,USA
"Sexyy Red, Bruno Mars",Fat Juicy & Wet,Hip-Hop/Rap,141.057,USA
Jin,Close to You,K-Pop,228.147,USA
Ed Sheeran,Shape of You,Pop,233.713,USA
Kenshi Yonezu,BOW AND ARROW,J-Pop,175.727,USA
Park Hyo Shin,"눈의 꽃 - 미안하다, 사랑한다 (Original Television Soundtrack)",TV Soundtrack,339.856,USA
Choi Yu Ree,Forest,Folk,228.267,USA
The Weeknd,Blinding Lights,R&B/Soul,201.57,USA
Benson Boone,Beautiful Things,Pop,180.304,USA
"JENNIE, Dominic Fike",Love Hangover (feat. Dominic Fike),Pop,180.129,USA
"The Weeknd, Justice",Wake Me Up (feat. Justice),R&B/Soul,308.575,USA
The Weeknd,Cry For Me,R&B/Soul,224.137,USA
"The Weeknd, Anitta",São Paulo (feat. Anitta),R&B/Soul,148.853,USA
"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),R&B/Soul,256.0,USA
The Weeknd,Open Hearts,R&B/Soul,234.924,USA
The Weeknd,Baptized In Fear,R&B/Soul,232.176,USA
"The Weeknd, Travis Scott, Florence + The Machine","Reflections Laughing (feat. Travis Scott, Florence + The Machine)",R&B/Soul,291.193,USA
